10023678  212.842	 w	 100.000000	 122.839996
3	 d	 10.000000	 122.839996
3	 w	 90.000000	 32.839996
2	 w	 100.000000	 122.841995
3	 d	 10.000000	 122.841995
3	 w	 90.000000	 32.841995
3	 d	 10.000000	 122.841995
2	 w	 100.000000	 122.841995
2	 w	 100.000000	 122.841995
2	 w	 100.000000	 122.841995
3	 d	 10.000000	 122.841995
3	 d	 10.000000	 122.841995
3	 d	 10.000000	 122.841995
2	 w	 100.000000	 122.841995
2	 w	 100.000000	 122.841995
2	 w	 100.000000	 122.841995
3	 d	 10.000000	 122.841995
3	 w	 90.000000	 32.841995
3	 w	 90.000000	 32.841995
2	 w	 100.000000	 122.841995
3	 d	 10.000000	 122.841995
3	 w	 90.000000	 32.841995
2	 w	 100.000000	 122.841995
3	 d	 10.000000	 122.841995
3	 w	 90.000000	 32.841995
